Unit,Indicator,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018
Millions of Metric tons of CO2,CO2 emissions,0.441,0.411,0.458,0.457,0.459,0.459,0.4,0.469,0.496,0.527,0.493
Millions of Metric tons of CO2,CO2 emissions,0.017,0.012,0.014,0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.017
Millions of Metric tons of CO2,CO2 emissions,0.31,0.277,0.316,0.098,0.124,0.057,0.013,0.034,0.012,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,0.026,0.023,0.026,0.019,0.018,0.018,0.017,0.017,0.019,0.023,0.028
Millions of Metric tons of CO2,CO2 emissions,0,0,0.006,0.003,0.003,0.003,0.003,0.003,0.006,0.013,0.02
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.005,0.004
Millions of Metric tons of CO2,CO2 emissions,0.182,0.153,0.115,0.168,0.194,0.168,0.194,0.181,0.167,0.156,0.161
Millions of Metric tons of CO2,CO2 emissions,0.034,0.032,0.029,0.026,0.025,0.025,0.026,0.025,0.025,0.028,0.028
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.004
Millions of Metric tons of CO2,CO2 emissions,2.009,1.944,2.327,2.146,1.929,2.026,1.745,1.818,1.844,1.546,1.934
Millions of Metric tons of CO2,CO2 emissions,0.014,0.01,0.013,0.012,0.01,0.008,0.012,0.009,0.011,0.011,0.012
Millions of Metric tons of CO2,CO2 emissions,0.044,0.03,0.029,0.028,0.026,0.025,0.028,0.028,0.028,0.025,0.023
Millions of Metric tons of CO2,CO2 emissions,0.039,0.027,0.038,0.04,0.027,0.024,0.024,0.017,0.03,0.028,0.025
Millions of Metric tons of CO2,CO2 emissions,0.186,0.175,0.17,0.148,0.152,0.144,0.148,0.126,0.127,0.123,0.131
Millions of Metric tons of CO2,CO2 emissions,0.023,0.022,0.022,0.021,0.019,0.018,0.023,0.024,0.026,0.029,0.032
Millions of Metric tons of CO2,CO2 emissions,0.015,0.012,0.019,0.012,0.014,0.013,0.015,0.015,0.017,0.023,0.026
Millions of Metric tons of CO2,CO2 emissions,1.286,1.252,1.202,1.064,1.025,1.019,1.017,1.071,1.1,1.186,1.1
Millions of Metric tons of CO2,CO2 emissions,0.006,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.044,0.034,0.035,0.03,0.04,0.034,0.032,0.025,0.023,0.018,0.016
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.032,0.018,0.02,0.021,0.023,0.045,0.035,0.024,0.027,0.031,0.028
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.005,0.004,0.004,0.002,0.003,0.004,0.005,0.002,0.002,0.004,0.005
Millions of Metric tons of CO2,CO2 emissions,0.341,0.213,0.418,0.514,0.511,0.45,0.49,0.413,0.314,0.299,0.423
Millions of Metric tons of CO2,CO2 emissions,0.01,0.01,0.01,0.009,0.009,0.007,0.007,0.009,0.008,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.007,0.005,0.005,0.004,0.009,0.004,0.003,0.002,0.001,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.012,0.006,0.006,0.006,0.004,0.006,0.006,0.005,0.005,0.007,0.007
Millions of Metric tons of CO2,CO2 emissions,0.016,0.013,0.014,0.014,0.012,0.014,0.012,0.011,0.014,0.015,0.017
Millions of Metric tons of CO2,CO2 emissions,0.016,0.01,0.013,0.01,0.01,0.005,0.004,0.006,0.006,0.007,0.009
Millions of Metric tons of CO2,CO2 emissions,0.072,0.062,0.094,0.078,0.05,0.039,0.072,0.074,0.041,0.045,0.045
Millions of Metric tons of CO2,CO2 emissions,0.062,0.055,0.049,0.045,0.043,0.049,0.055,0.055,0.057,0.062,0.061
Millions of Metric tons of CO2,CO2 emissions,0.009,0.008,0.009,0.009,0.011,0.01,0.01,0.007,0.009,0.009,0.009
Millions of Metric tons of CO2,CO2 emissions,0.094,0.096,0.089,0.074,0.073,0.069,0.076,0.065,0.07,0.063,0.065
Millions of Metric tons of CO2,CO2 emissions,0.005,0.001,0.002,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.003
Millions of Metric tons of CO2,CO2 emissions,0.018,0.019,0.02,0.017,0.014,0.012,0.017,0.015,0.013,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,0.02,0.016,0.018,0.021,0.025,0.018,0.013,0.013,0.013,0.012,0.011
Millions of Metric tons of CO2,CO2 emissions,0.347,0.236,0.238,0.206,0.222,0.187,0.147,0.177,0.148,0.153,0.153
Millions of Metric tons of CO2,CO2 emissions,0.023,0.02,0.023,0.014,0.018,0.014,0.019,0.02,0.021,0.02,0.019
Millions of Metric tons of CO2,CO2 emissions,0.22,0.237,0.205,0.155,0.178,0.205,0.206,0.195,0.229,0.199,0.057
Millions of Metric tons of CO2,CO2 emissions,0.231,0.217,0.198,0.141,0.157,0.255,0.253,0.257,0.242,0.271,0.264
Millions of Metric tons of CO2,CO2 emissions,0.102,0.088,0.112,0.112,0.092,0.074,0.077,0.068,0.084,0.092,0.095
Millions of Metric tons of CO2,CO2 emissions,0.009,0.009,0.013,0.013,0.013,0.01,0.01,0.01,0.013,0.014,0.015
Millions of Metric tons of CO2,CO2 emissions,0.07,0.04,0.035,0.038,0.028,0.054,0.045,0.062,0.083,0.095,0.111
Millions of Metric tons of CO2,CO2 emissions,0.297,0.246,0.393,0.416,0.434,0.303,0.352,0.348,0.354,0.366,0.326
Millions of Metric tons of CO2,CO2 emissions,0.105,0.055,0.055,0.096,0.093,0.086,0.04,0.022,0.013,0.019,0.081
Millions of Metric tons of CO2,CO2 emissions,0.01,0.011,0.013,0.009,0.008,0.011,0.012,0.015,0.017,0.02,0.018
Millions of Metric tons of CO2,CO2 emissions,0.006,0.003,0.008,0.009,0.005,0.005,0.004,0.004,0.004,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.285,0.309,0.299,0.314,0.362,0.273,0.293,0.281,0.242,0.256,0.274
Millions of Metric tons of CO2,CO2 emissions,2.06,1.914,1.765,1.742,1.648,1.708,1.463,1.58,1.583,1.579,1.494
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.005,0.004,0.004,0.002,0.002,0.003,0.003,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,0.19,0.1,0.127,0.13,0.131,0.188,0.167,0.123,0.105,0.121,0.115
Millions of Metric tons of CO2,CO2 emissions,0.023,0.027,0.027,0.028,0.023,0.026,0.024,0.022,0.025,0.025,0.024
Millions of Metric tons of CO2,CO2 emissions,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005
Millions of Metric tons of CO2,CO2 emissions,2.975,3.035,3.724,2.859,2.911,2.319,1.763,1.564,1.279,0.999,0.968
Millions of Metric tons of CO2,CO2 emissions,0.012,0.006,0.011,0.012,0.012,0.008,0.01,0.011,0.014,0.016,0.018
Millions of Metric tons of CO2,CO2 emissions,0.027,0.042,0.025,0.027,0.021,0.019,0.022,0.021,0.025,0.026,0.025
Millions of Metric tons of CO2,CO2 emissions,0.031,0.028,0.011,0.017,0.015,0.01,0.026,0.02,0.018,0.016,0.017
Millions of Metric tons of CO2,CO2 emissions,0.28,0.263,0.32,0.337,0.353,0.302,0.273,0.269,0.266,0.266,0.271
Millions of Metric tons of CO2,CO2 emissions,0.026,0.027,0.027,0.027,0.022,0.027,0.027,0.029,0.034,0.036,0.035
Millions of Metric tons of CO2,CO2 emissions,0.007,0.007,0.009,0.01,0.009,0.01,0.01,0.012,0.015,0.018,0.021
Millions of Metric tons of CO2,CO2 emissions,0.86,0.792,0.772,0.797,0.874,0.93,1.101,1.208,1.309,1.374,1.607
Millions of Metric tons of CO2,CO2 emissions,0.004,0.002,0.004,0.005,0.005,0.007,0.009,0.008,0.009,0.012,0.011
Millions of Metric tons of CO2,CO2 emissions,0.019,0.029,0.018,0.035,0.035,0.029,0.036,0.031,0.033,0.036,0.042
Millions of Metric tons of CO2,CO2 emissions,0.006,0.004,0.005,0.012,0.009,0.005,0.015,0.074,0.063,0.045,0.045
Millions of Metric tons of CO2,CO2 emissions,0.008,0.004,0.007,0.012,0.011,0.01,0.012,0.01,0.01,0.012,0.011
Millions of Metric tons of CO2,CO2 emissions,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,0.006,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.562,0.367,0.409,0.482,0.556,0.613,0.539,0.451,0.412,0.403,0.442
Millions of Metric tons of CO2,CO2 emissions,0.01,0.008,0.01,0.01,0.009,0.008,0.009,0.01,0.011,0.011,0.01
Millions of Metric tons of CO2,CO2 emissions,0.006,0.007,0.005,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.035,0.051,0.069,0.057,0.047,0.05,0.036,0.033,0.033,0.039,0.047
Millions of Metric tons of CO2,CO2 emissions,0.006,0.016,0.015,0.013,0.016,0.018,0.027,0.03,0.029,0.021,0.017
Millions of Metric tons of CO2,CO2 emissions,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.006
Millions of Metric tons of CO2,CO2 emissions,0.047,0.035,0.036,0.04,0.031,0.035,0.037,0.039,0.046,0.047,0.05
Millions of Metric tons of CO2,CO2 emissions,0.096,0.085,0.108,0.1,0.079,0.077,0.078,0.088,0.095,0.097,0.083
Millions of Metric tons of CO2,CO2 emissions,0.013,0.01,0.01,0.009,0.007,0.006,0.006,0.027,0.032,0.034,0.034
Millions of Metric tons of CO2,CO2 emissions,0.049,0.05,0.049,0.051,0.044,0.078,0.095,0.074,0.074,0.078,0.061
Millions of Metric tons of CO2,CO2 emissions,0.005,0.003,0.004,0.011,0.011,0.007,0.009,0.012,0.009,0.01,0.012
Millions of Metric tons of CO2,CO2 emissions,0.015,0.016,0.016,0.014,0.01,0.009,0.011,0.011,0.013,0.013,0.012
Millions of Metric tons of CO2,CO2 emissions,0.049,0.045,0.045,0.042,0.036,0.043,0.041,0.043,0.049,0.044,0.049
Millions of Metric tons of CO2,CO2 emissions,0.106,0.06,0.079,0.108,0.088,0.102,0.076,0.064,0.083,0.072,0.09
Millions of Metric tons of CO2,CO2 emissions,0.011,0.01,0.036,0.032,0.019,0.028,0.033,0.032,0.032,0.039,0.034
Millions of Metric tons of CO2,CO2 emissions,0.345,0.394,0.384,0.358,0.253,0.081,0.103,0.139,0.209,0.229,0.242
Millions of Metric tons of CO2,CO2 emissions,0.28,0.233,0.222,0.228,0.199,0.208,0.213,0.228,0.257,0.261,0.236
Millions of Metric tons of CO2,CO2 emissions,0.111,0.052,0.066,0.044,0.03,0.03,0.03,0.021,0.039,0.043,0.036
Millions of Metric tons of CO2,CO2 emissions,0.006,0.006,0.007,0.005,0.006,0.006,0.005,0.006,0.006,0.006,0.007
Millions of Metric tons of CO2,CO2 emissions,0.395,0.235,0.403,0.366,0.548,0.655,0.915,0.989,0.907,0.973,0.643
Millions of Metric tons of CO2,CO2 emissions,0.062,0.067,0.07,0.057,0.057,0.062,0.065,0.062,0.072,0.058,0.052
Millions of Metric tons of CO2,CO2 emissions,1.638,1.529,1.631,1.589,1.516,1.589,1.672,1.813,1.814,2.375,2.024
Millions of Metric tons of CO2,CO2 emissions,0.003,0.004,0.004,0.004,0.004,0.005,0.003,0.003,0.003,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0.677,0.563,0.66,0.583,0.502,0.509,0.482,0.447,0.425,0.408,0.439
Millions of Metric tons of CO2,CO2 emissions,0.022,0.017,0.018,0.035,0.044,0.06,0.045,0.044,0.036,0.026,0.019
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.006,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.001
Millions of Metric tons of CO2,CO2 emissions,0.16,0.14,0.093,0.112,0.115,0.103,0.156,0.161,0.187,0.192,0.218
Millions of Metric tons of CO2,CO2 emissions,0.009,0.01,0.016,0.012,0.023,0.021,0.008,0.009,0.01,0.011,0.013
Millions of Metric tons of CO2,CO2 emissions,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
Millions of Metric tons of CO2,CO2 emissions,1.075,1.212,1.26,1.059,1.084,0.729,0.683,0.459,0.248,0.245,0.225
Millions of Metric tons of CO2,CO2 emissions,0.024,0.024,0.03,0.032,0.025,0.033,0.024,0.017,0.017,0.017,0.015
Millions of Metric tons of CO2,CO2 emissions,0.232,0.227,0.295,0.2,0.256,0.275,0.223,0.281,0.293,0.327,0.355
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.019,0.011,0.014,0.024,0.019,0.016,0.023,0.019,0.022,0.025,0.021
Millions of Metric tons of CO2,CO2 emissions,0.021,0.022,0.023,0.013,0.022,0.022,0.021,0.024,0.024,0.027,0.034
Millions of Metric tons of CO2,CO2 emissions,0.011,0.012,0.013,0.009,0.015,0.018,0.021,0.03,0.038,0.05,0.063
Millions of Metric tons of CO2,CO2 emissions,1.005,0.827,0.762,0.682,0.645,0.705,0.485,0.353,0.36,0.275,0.308
Millions of Metric tons of CO2,CO2 emissions,0.018,0.013,0.029,0.032,0.029,0.034,0.025,0.021,0.024,0.024,0.022
Millions of Metric tons of CO2,CO2 emissions,0.032,0.018,0.039,0.016,0.018,0.016,0.011,0.007,0.008,0.007,0.009
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.01,0.009,0.002,0.006,0.003,0.004,0.006,0.008,0.009,0.009,0.012
Millions of Metric tons of CO2,CO2 emissions,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.002,0.003,0.003,0.002
Millions of Metric tons of CO2,CO2 emissions,0.478,0.445,0.472,0.478,0.463,0.403,0.463,0.434,0.466,0.447,0.464
Millions of Metric tons of CO2,CO2 emissions,0.004,0.004,0.005,0.004,0.004,0.005,0.005,0.003,0.004,0.004,0.004
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.037,0.027,0.033,0.021,0.015,0.019,0.013,0.01,0.01,0.009,0.007
Millions of Metric tons of CO2,CO2 emissions,0.013,0.006,0.013,0.015,0.013,0.016,0.011,0.012,0.009,0.009,0.008
Millions of Metric tons of CO2,CO2 emissions,0.027,0.016,0.026,0.029,0.028,0.031,0.029,0.026,0.028,0.028,0.044
Millions of Metric tons of CO2,CO2 emissions,0.041,0.04,0.04,0.036,0.042,0.047,0.041,0.05,0.062,0.06,0.077
Millions of Metric tons of CO2,CO2 emissions,0.023,0.022,0.025,0.02,0.024,0.025,0.022,0.022,0.028,0.027,0.034
Millions of Metric tons of CO2,CO2 emissions,0.006,0.005,0.007,0.006,0.006,0.008,0.006,0.007,0.007,0.007,0.009
Millions of Metric tons of CO2,CO2 emissions,0.029,0.032,0.039,0.032,0.036,0.038,0.036,0.038,0.046,0.05,0.061
Millions of Metric tons of CO2,CO2 emissions,0.076,0.062,0.074,0.077,0.067,0.069,0.154,0.105,0.108,0.104,0.104
Millions of Metric tons of CO2,CO2 emissions,0.017,0.022,0.03,0.02,0.024,0.026,0.017,0.019,0.02,0.02,0.024
Millions of Metric tons of CO2,CO2 emissions,0.053,0.051,0.048,0.039,0.041,0.046,0.049,0.065,0.066,0.066,0.066
Millions of Metric tons of CO2,CO2 emissions,0.041,0.037,0.039,0.053,0.05,0.055,0.053,0.038,0.045,0.046,0.045
Millions of Metric tons of CO2,CO2 emissions,0.031,0.027,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.005,0.006
Millions of Metric tons of CO2,CO2 emissions,0.226,0.163,0.179,0.178,0.171,0.191,0.178,0.144,0.15,0.143,0.177
Millions of Metric tons of CO2,CO2 emissions,0.146,0.119,0.146,0.149,0.157,0.181,0.179,0.171,0.161,0.122,0.159
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.003,0.005,0.004,0.006,0.006,0.004,0.007,0.005,0.003
Millions of Metric tons of CO2,CO2 emissions,0.428,0.423,0.474,0.517,0.489,0.604,0.655,0.592,0.654,0.609,0.534
Millions of Metric tons of CO2,CO2 emissions,0.257,0.277,0.295,0.324,0.331,0.433,0.466,0.448,0.48,0.457,0.43
Millions of Metric tons of CO2,CO2 emissions,2.082,1.878,1.869,1.379,1.158,1.322,1.216,1.928,1.694,2.528,2.244
Millions of Metric tons of CO2,CO2 emissions,8.026,8.045,9.011,9.314,9.036,10.102,11.057,10.597,10.057,10.561,10.451
Millions of Metric tons of CO2,CO2 emissions,0.166,0.19,0.204,0.236,0.27,0.391,0.468,0.472,0.511,0.488,0.467
Millions of Metric tons of CO2,CO2 emissions,0.07,0.084,0.077,0.13,0.17,0.286,0.352,0.474,0.469,0.447,0.454
Millions of Metric tons of CO2,CO2 emissions,0.621,0.843,0.679,0.955,0.982,1.117,1.26,1.413,1.133,1.214,1.277
Millions of Metric tons of CO2,CO2 emissions,4.964,1.778,1.733,6.006,2.247,2.406,2.653,1.958,1.615,1.612,1.508
Millions of Metric tons of CO2,CO2 emissions,0.172,0.288,0.289,0.377,0.48,0.687,0.933,1.116,1.122,1.119,1.085
Millions of Metric tons of CO2,CO2 emissions,1.782,1.92,1.928,3,3.081,4.097,4.434,4.697,5.004,4.801,4.678
Millions of Metric tons of CO2,CO2 emissions,0.188,0.219,0.249,0.262,0.237,0.263,0.247,0.239,0.265,0.243,0.178
Millions of Metric tons of CO2,CO2 emissions,0.028,0.034,0.038,0.044,0.046,0.067,0.088,0.107,0.107,0.105,0.102
Millions of Metric tons of CO2,CO2 emissions,67.453,72.319,95.034,86.898,90.389,95.311,97.817,102.884,103.016,107.061,112.167
Millions of Metric tons of CO2,CO2 emissions,0.117,0.133,0.132,0.345,0.453,0.747,0.916,1.133,1.184,1.112,1.114
Millions of Metric tons of CO2,CO2 emissions,0.6,0.654,0.768,0.471,0.41,0.449,0.429,0.401,0.46,0.43,0.293
Millions of Metric tons of CO2,CO2 emissions,2.206,1.843,4.548,3.612,3.955,4.106,3.969,2.877,1.74,2.703,2.919
Millions of Metric tons of CO2,CO2 emissions,0.41,0.36,0.354,0.602,0.736,1.064,1.315,1.35,1.398,1.314,1.341
Millions of Metric tons of CO2,CO2 emissions,0.109,0.119,0.138,0.173,0.167,0.203,0.226,0.204,0.224,0.205,0.165
Millions of Metric tons of CO2,CO2 emissions,0.085,0.094,0.114,0.148,0.172,0.245,0.302,0.347,0.367,0.347,0.299
Millions of Metric tons of CO2,CO2 emissions,4.06,4.1,4.098,3.949,4.076,5.347,5.763,5.806,5.975,5.905,5.846
Millions of Metric tons of CO2,CO2 emissions,0.028,0.034,0.033,0.068,0.087,0.133,0.164,0.194,0.197,0.187,0.183
Millions of Metric tons of CO2,CO2 emissions,8.571,5.315,5.554,5.917,6.655,6.184,6.149,6.221,6.409,6.96,7.55
Millions of Metric tons of CO2,CO2 emissions,26.583,18.201,10.502,18.554,17.109,17.679,20.64,20.06,15.451,2.036,12.771
Millions of Metric tons of CO2,CO2 emissions,0.319,0.305,0.301,0.358,0.367,0.492,0.495,0.56,0.583,0.565,0.554
Millions of Metric tons of CO2,CO2 emissions,0.089,0.091,0.1,0.088,0.077,0.101,0.087,0.087,0.084,0.08,0.076
Millions of Metric tons of CO2,CO2 emissions,0.022,0.028,0.03,0.039,0.05,0.076,0.098,0.107,0.112,0.104,0.103
Millions of Metric tons of CO2,CO2 emissions,0.861,0.949,0.903,0.97,0.831,0.911,0.879,0.847,0.863,0.845,0.839
Millions of Metric tons of CO2,CO2 emissions,0.031,0.034,0.038,0.041,0.038,0.044,0.044,0.039,0.043,0.041,0.035
Millions of Metric tons of CO2,CO2 emissions,0.028,0.029,0.029,0.038,0.042,0.06,0.072,0.06,0.062,0.058,0.057
Millions of Metric tons of CO2,CO2 emissions,0.076,0.083,0.076,0.103,0.122,0.168,0.206,0.238,0.238,0.234,0.232
Millions of Metric tons of CO2,CO2 emissions,0.009,0.013,0.013,0.013,0.013,0.015,0.015,0.015,0.015,0.015,0.015
Millions of Metric tons of CO2,CO2 emissions,0.313,0.295,0.284,0.293,0.306,0.398,0.431,0.425,0.451,0.435,0.43
Millions of Metric tons of CO2,CO2 emissions,0.167,0.188,0.203,0.326,0.326,0.404,0.395,0.438,0.481,0.459,0.421
Millions of Metric tons of CO2,CO2 emissions,0.579,0.67,0.742,0.612,0.586,0.707,0.737,0.707,0.756,0.699,0.586
Millions of Metric tons of CO2,CO2 emissions,0.03,0.033,0.039,0.108,0.143,0.212,0.248,0.309,0.332,0.317,0.305
Millions of Metric tons of CO2,CO2 emissions,0.202,0.221,0.258,0.678,0.986,1.661,2.123,2.733,2.935,2.849,2.795
Millions of Metric tons of CO2,CO2 emissions,34.83,24.52,25.103,22.947,25.693,23.448,23.092,23.289,23.928,26.178,28.597
Millions of Metric tons of CO2,CO2 emissions,0.219,0.243,0.297,0.277,0.281,0.364,0.424,0.455,0.498,0.47,0.388
Millions of Metric tons of CO2,CO2 emissions,0.055,0.055,0.052,0.097,0.118,0.166,0.204,0.202,0.217,0.205,0.209
Millions of Metric tons of CO2,CO2 emissions,0.75,0.765,0.8,1.1,1.364,2.114,2.644,3.19,3.37,3.264,3.199
Millions of Metric tons of CO2,CO2 emissions,0.132,0.137,0.146,0.165,0.172,0.231,0.252,0.185,0.199,0.189,0.174
Millions of Metric tons of CO2,CO2 emissions,3.442,4.75,4.36,2.937,1.549,1.506,1.061,1.417,0.921,0.866,0.819
Millions of Metric tons of CO2,CO2 emissions,10.38,10.465,10.754,8.878,7.11,7.351,6.269,5.271,5.742,5.465,5.107
Millions of Metric tons of CO2,CO2 emissions,0.171,0.168,0.158,0.239,0.257,0.346,0.405,0.466,0.476,0.47,0.456
Millions of Metric tons of CO2,CO2 emissions,0.007,0.005,0.006,0.006,0.008,0.009,0.008,0.009,0.008,0.009,0.008
Millions of Metric tons of CO2,CO2 emissions,0.007,0.007,0.01,0.014,0.015,0.019,0.022,0.022,0.022,0.023,0.024
Millions of Metric tons of CO2,CO2 emissions,0.021,0.016,0.02,0.015,0.012,0.009,0.008,0.006,0.008,0.013,0.014
Millions of Metric tons of CO2,CO2 emissions,0.312,0.295,0.295,0.296,0.292,0.292,0.284,0.287,0.259,0.266,0.415
Millions of Metric tons of CO2,CO2 emissions,0.008,0.007,0.011,0.008,0.011,0.014,0.018,0.026,0.025,0.024,0.02
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.017,0.011,0.011,0.012,0.012,0.011,0.007,0.009,0.008,0.008,0.006
Millions of Metric tons of CO2,CO2 emissions,0.029,0.025,0.026,0.024,0.024,0.028,0.028,0.035,0.035,0.036,0.035
Millions of Metric tons of CO2,CO2 emissions,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.002
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,2.1,1.955,1.961,2,2.129,1.733,1.691,0.941,0.646,0.81,0.803
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0.029,0.021,0.03,0.031,0.037,0.04,0.039,0.04,0.037,0.032,0.028
Millions of Metric tons of CO2,CO2 emissions,0.009,0.007,0.008,0.004,0.012,0.01,0.01,0.012,0.011,0.013,0.015
Millions of Metric tons of CO2,CO2 emissions,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Millions of Metric tons of CO2,CO2 emissions,0.007,0.005,0.005,0.005,0.006,0.008,0.008,0.009,0.009,0.01,0.01
Millions of Metric tons of CO2,CO2 emissions,0.002,0.001,0.003,0.002,0.003,0.003,0.004,0.005,0.005,0.005,0.004
Millions of Metric tons of CO2,CO2 emissions,0.04,0.051,0.059,0.038,0.03,0.03,0.046,0.042,0.051,0.044,0.062
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.028,0.019,0.023,0.011,0.02,0.032,0.04,0.038,0.038,0.034,0.028
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.007,0.004,0.005,0.006,0.005,0.007,0.006,0.007,0.005,0.006,0.005
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0.002,0.001,0.001,0.001,0.001,0.001
Millions of Metric tons of CO2,CO2 emissions,0,0,0,0,0,0,0,0,0,0,0
Millions of Metric tons of CO2,CO2 emissions,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
Millions of Metric tons of CO2,CO2 emissions,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002
